Vardas         Pavarde        nd1  nd2  nd3  nd4  nd5  nd6  nd7  nd8  nd9  nd10 Egz. 
Vardas1        Pavarde1       5    8    8    1    3    0    5    2    6    5    2    
Vardas10       Pavarde10      7    3    8    5    10   1    1    10   3    5    5    
Vardas100      Pavarde100     1    6    4    3    4    8    0    8    4    1    8    
Vardas1000     Pavarde1000    0    9    5    10   7    0    8    8    3    7    1    
Vardas10000    Pavarde10000   10   7    5    7    2    1    3    1    3    2    10   
Vardas1001     Pavarde1001    8    1    10   7    6    5    4    10   1    4    3    
Vardas1002     Pavarde1002    8    10   4    9    10   4    2    3    9    5    1    
Vardas1003     Pavarde1003    3    0    6    4    10   3    4    2    7    8    6    
Vardas1004     Pavarde1004    2    7    7    4    7    5    2    1    1    1    1    
Vardas1005     Pavarde1005    9    5    8    0    9    6    7    7    5    7    8    
Vardas1006     Pavarde1006    8    1    2    4    3    9    8    2    8    10   6    
Vardas1007     Pavarde1007    9    3    9    1    1    6    1    9    4    0    8    
Vardas1008     Pavarde1008    8    3    1    2    10   3    9    6    8    6    8    
Vardas1009     Pavarde1009    8    10   4    5    10   9    1    1    9    4    2    
Vardas101      Pavarde101     9    10   4    0    5    7    10   2    0    2    3    
Vardas1010     Pavarde1010    0    9    0    5    1    3    10   2    2    2    8    
Vardas1011     Pavarde1011    0    6    9    7    8    0    10   3    10   3    2    
Vardas1012     Pavarde1012    8    6    10   2    7    5    5    6    2    9    4    
Vardas1013     Pavarde1013    3    7    0    8    7    7    4    9    9    10   2    
Vardas1014     Pavarde1014    0    2    7    8    1    3    1    5    6    7    0    
Vardas1015     Pavarde1015    0    8    2    6    2    0    0    8    10   3    8    
Vardas1016     Pavarde1016    9    9    0    1    1    5    2    4    5    7    3    
Vardas1017     Pavarde1017    9    4    6    10   9    6    6    4    9    1    10   
Vardas1018     Pavarde1018    2    0    6    10   3    2    9    8    5    3    3    
Vardas1019     Pavarde1019    9    8    3    10   6    10   4    3    10   10   2    
Vardas102      Pavarde102     6    1    5    2    6    6    2    0    8    1    4    
Vardas1020     Pavarde1020    2    10   1    2    2    4    2    8    6    2    6    
Vardas1021     Pavarde1021    7    10   5    5    7    8    4    0    4    1    3    
Vardas1022     Pavarde1022    7    8    4    9    0    5    6    0    9    5    9    
Vardas1023     Pavarde1023    9    9    1    8    4    6    7    2    6    9    3    
